,index,cap-diameter,stem-height,stem-width,edible-poisonous_new,does-bruise-or-bleed_new,has-ring_new,cap-shape_new,gill-attachment_new,ring-type_new,habitat_new,cap-color_new,gill-color_new,stem-color_new,season_new
12438,12444,7.57,13.36,13.81,1,0,1,0,2,3,0,10,10,11,0
12439,12445,1.52,4.83,2.62,0,0,0,6,0,1,1,5,4,11,1
12440,12446,4.26,6.36,10.11,1,0,1,6,5,7,0,5,7,11,2
12441,12447,4.08,3.87,6.56,0,0,0,2,1,1,4,10,10,11,0
12442,12448,3.67,3.65,5.59,1,0,1,6,0,7,0,6,5,7,0
12443,12449,2.6,10.06,2.41,1,0,0,0,0,1,1,5,4,3,0
12444,12450,2.84,3.28,2.51,1,0,0,5,0,1,1,10,7,11,2
12445,12451,6.17,5.3,10.74,0,0,1,6,2,2,0,11,10,12,0
12446,12452,3.65,0.0,0.0,1,0,0,3,4,1,0,5,10,2,2
12447,12453,1.06,2.89,1.23,1,0,0,6,0,1,3,10,10,6,2
12448,12454,6.41,3.88,10.39,1,1,1,5,1,1,0,11,6,11,0
12449,12455,5.91,2.94,11.12,1,0,0,6,1,1,0,7,8,12,0
12450,12456,3.1,3.86,5.24,1,0,0,6,4,1,0,1,1,1,0
12451,12457,6.14,4.73,13.87,1,0,0,2,6,1,0,11,11,12,0
12452,12458,3.06,5.22,32.5,1,0,1,3,3,1,5,10,2,11,2
12453,12459,6.16,4.03,12.81,0,0,1,2,2,3,7,5,5,11,0
12454,12460,10.34,9.58,18.16,0,1,1,6,2,3,0,5,7,11,0
12455,12461,0.65,3.52,0.65,1,0,0,6,5,1,0,6,11,11,0
12456,12462,3.16,2.97,3.32,1,0,0,1,0,1,0,10,10,11,2
12457,12463,1.0,3.27,2.41,1,0,1,0,0,1,4,11,4,6,2
12458,12464,5.97,6.32,6.23,1,1,0,5,1,1,0,5,7,1,0
12459,12465,7.92,4.51,12.18,0,0,1,2,2,6,7,5,7,11,0
12460,12467,3.36,4.0,2.97,1,0,0,6,5,1,1,5,7,6,0
12461,12468,8.41,9.02,16.31,0,1,0,6,4,1,0,11,11,12,2
12462,12469,7.81,5.32,6.69,1,0,0,6,5,1,0,5,5,6,0
12463,12471,10.73,8.07,18.43,1,0,0,6,5,1,0,2,11,6,2
12464,12472,4.5,0.0,0.0,1,0,1,3,3,1,0,6,2,2,2
12465,12473,3.55,4.58,4.04,1,0,0,2,6,1,0,5,7,3,0
12466,12474,8.23,5.97,17.13,0,1,0,5,1,1,0,7,6,11,0
12467,12475,4.27,6.87,7.79,1,0,0,1,2,1,0,11,5,11,2
12468,12476,2.13,6.08,3.04,1,0,0,2,6,1,1,11,11,12,2
12469,12477,6.0,5.83,4.83,0,0,1,6,0,3,0,5,5,11,0
12470,12478,10.75,9.77,31.02,1,0,0,6,4,1,0,5,10,6,2
12471,12479,8.83,11.23,16.12,1,0,0,6,0,1,0,5,5,6,0
12472,12480,8.52,4.91,13.35,0,0,1,2,2,6,7,5,5,11,2
12473,12481,5.88,5.2,5.84,1,1,0,5,1,1,0,5,0,1,2
12474,12482,3.25,2.65,6.87,1,0,0,2,1,1,1,10,10,11,2
12475,12483,3.72,8.49,8.46,1,0,1,6,4,7,0,11,8,12,0
12476,12484,4.66,0.0,0.0,1,0,0,3,5,1,0,5,10,2,2
12477,12485,9.03,6.34,15.51,1,1,0,6,5,1,0,5,10,6,2
12478,12486,8.68,10.73,14.81,0,1,1,2,1,2,0,5,10,11,0
12479,12487,7.81,9.35,10.93,1,0,1,6,0,1,0,5,11,12,2
12480,12488,2.79,5.72,2.8,0,0,0,0,0,1,0,5,5,11,3
12481,12489,3.73,5.82,3.8,1,0,0,2,6,1,0,5,7,6,0
12482,12490,7.36,3.93,13.48,0,0,0,6,0,1,0,9,10,11,0
12483,12491,7.91,7.45,14.28,0,0,0,4,0,1,1,2,10,3,2
12484,12492,9.21,8.56,22.11,0,0,0,6,5,1,0,5,3,10,3
12485,12493,7.96,7.25,15.32,0,0,0,4,0,1,0,5,10,11,2
12486,12494,9.71,11.19,16.64,1,0,1,2,2,2,0,8,10,11,0
12487,12495,8.93,6.29,29.82,0,0,0,2,5,1,4,10,10,11,1
12488,12496,3.15,3.27,6.56,1,0,0,2,1,1,1,10,10,11,0
12489,12497,6.44,5.49,8.88,1,0,0,2,1,1,0,5,11,6,3
12490,12498,3.59,4.43,7.73,0,0,0,6,0,1,0,11,6,11,0
12491,12499,3.75,4.23,4.48,0,0,0,6,0,1,0,6,10,7,1
12492,12500,4.73,13.83,6.96,1,0,1,0,6,1,1,5,4,11,3
12493,12501,6.55,9.41,12.38,1,0,1,0,1,7,0,5,4,11,1
12494,12502,6.05,5.36,9.6,0,0,0,6,2,1,0,5,7,6,0
12495,12503,4.11,3.76,8.97,0,0,0,6,0,1,0,11,6,11,2
12496,12504,0.75,3.74,0.87,1,0,0,6,5,1,0,6,11,11,2
12497,12505,1.47,5.25,2.54,0,0,0,6,1,1,0,5,3,11,3
12498,12506,19.98,5.19,27.8,1,0,0,6,4,1,0,6,11,6,0
12499,12507,3.17,4.1,3.37,1,0,1,0,2,0,4,7,10,11,0
12500,12508,0.74,3.94,1.09,1,0,0,6,0,1,0,7,5,4,2
12501,12509,0.9,3.22,1.38,0,0,0,4,1,1,0,2,3,11,0
12502,12510,5.97,5.92,12.76,0,0,1,6,2,2,0,10,10,12,0
12503,12511,1.25,2.52,1.37,0,0,0,4,2,1,0,2,3,11,0
12504,12512,3.0,0.0,0.0,1,0,0,3,3,1,0,2,2,2,1
12505,12513,4.91,3.6,8.71,0,0,0,6,2,1,0,5,7,6,2
12506,12514,6.41,4.13,11.95,1,1,0,5,1,1,0,5,3,6,2
12507,12515,2.57,3.86,16.05,1,0,0,3,3,1,0,3,2,6,2
12508,12516,5.5,4.73,13.06,0,0,1,6,2,3,7,5,5,11,0
12509,12517,4.59,4.42,6.37,1,0,0,6,6,1,0,7,10,11,2
12510,12518,6.78,8.11,7.8,1,0,1,6,0,7,0,11,4,6,2
12511,12519,5.38,6.57,12.25,0,0,0,6,4,1,0,6,5,1,2
12512,12520,9.2,12.7,22.51,1,0,1,6,0,6,0,11,11,12,2
12513,12521,2.55,7.35,2.41,1,0,0,0,0,1,1,2,4,3,2
12514,12522,5.43,4.7,6.47,1,0,0,6,5,1,0,5,5,6,3
12515,12523,13.87,19.78,19.85,0,0,1,2,4,4,4,5,10,6,0
12516,12524,23.14,6.23,50.06,1,0,0,2,4,1,0,1,11,6,3
12517,12525,7.65,8.91,19.73,1,1,0,6,6,1,0,9,5,10,0
12518,12526,2.99,3.07,5.92,0,0,0,2,1,1,1,10,10,11,0
12519,12527,1.17,4.54,2.55,1,0,1,0,6,1,4,5,3,6,0
12520,12528,2.44,3.45,3.66,1,0,0,2,0,1,5,9,5,11,2
12521,12529,3.36,4.75,3.19,1,0,0,2,6,1,0,5,10,6,2
12522,12530,2.56,0.0,0.0,1,0,1,3,3,1,0,5,2,2,3
12523,12531,4.16,0.0,0.0,1,0,1,3,3,1,0,11,2,2,3
12524,12532,16.29,11.02,18.44,0,1,1,6,2,1,1,5,10,11,0
12525,12533,1.45,4.32,1.4,1,0,0,0,0,1,0,5,5,6,1
12526,12534,3.52,5.63,4.43,1,0,0,0,1,1,0,5,9,11,2
12527,12535,5.97,6.12,9.09,0,0,0,6,5,1,0,5,3,11,2
12528,12536,1.46,5.3,2.68,0,0,0,2,1,1,0,5,3,11,1
12529,12537,7.85,16.27,17.01,1,0,0,0,6,1,0,5,7,11,0
12530,12538,10.5,12.26,32.86,1,0,0,4,4,1,0,5,7,6,2
12531,12539,6.35,3.23,7.1,0,0,0,6,1,1,0,10,10,11,2
12532,12540,13.26,10.84,16.54,1,0,1,6,2,0,0,5,10,11,0
12533,12541,2.6,6.1,3.56,0,0,0,5,0,1,2,5,7,6,0
12534,12542,4.1,6.96,8.97,1,0,1,6,5,0,0,4,5,6,2
12535,12543,3.96,6.38,8.05,0,0,0,2,1,1,0,5,6,11,3
12536,12544,7.83,9.07,22.61,0,0,0,6,6,1,0,1,10,11,2
12537,12545,2.16,5.86,2.26,1,0,0,6,0,1,0,1,10,6,0
12538,12546,6.4,6.17,12.65,0,0,1,6,2,2,0,11,10,11,2
12539,12547,7.21,6.04,15.76,1,0,0,6,6,1,0,5,11,12,0
12540,12548,6.11,5.38,13.64,1,0,0,6,5,1,0,11,11,12,0
12541,12549,8.45,7.1,16.61,0,1,1,4,2,6,4,10,3,11,2
12542,12550,7.24,4.44,9.51,1,0,0,6,5,1,0,7,7,8,0
12543,12551,3.44,6.17,4.45,1,0,0,0,5,1,0,5,3,11,0
12544,12552,6.76,7.18,7.8,1,1,0,6,1,1,0,1,5,6,0
12545,12553,18.82,26.4,20.21,0,0,1,2,1,4,0,5,10,6,0
12546,12554,7.81,6.73,16.72,0,0,0,6,0,1,0,11,10,3,2
12547,12555,4.69,4.94,5.39,0,0,1,6,6,6,0,5,5,6,3
12548,12556,6.5,8.46,16.14,1,0,1,4,2,5,0,5,10,11,0
12549,12557,10.91,8.22,19.94,0,0,0,2,5,1,0,9,0,0,3
12550,12558,10.42,8.71,22.89,0,1,0,6,4,1,0,5,11,6,2
12551,12559,0.9,5.09,0.92,0,1,0,1,0,1,2,1,7,6,2
12552,12560,10.26,15.29,25.24,1,0,1,6,0,6,0,11,6,7,0
12553,12561,2.87,6.52,2.71,0,0,0,0,0,1,0,5,5,11,2
12554,12562,7.91,7.18,13.46,0,0,0,6,0,1,0,5,10,11,0
12555,12563,5.9,6.11,5.75,1,1,0,5,1,1,0,1,7,1,2
12556,12564,8.79,4.89,12.61,1,1,1,5,1,1,0,11,6,11,0
12557,12565,11.09,7.12,24.83,0,0,1,6,1,0,0,5,10,6,0
12558,12566,2.44,3.73,3.57,1,0,0,2,0,1,0,9,10,10,0
12559,12567,6.06,5.74,6.29,1,0,1,6,1,1,0,5,5,12,0
12560,12568,9.8,8.21,22.7,0,0,0,6,5,1,1,2,3,10,3
12561,12569,1.22,6.03,2.1,0,0,0,6,0,1,0,5,10,12,2
12562,12570,6.31,13.26,12.69,0,0,0,1,2,1,0,5,10,6,2
12563,12571,4.77,6.17,7.78,1,0,0,6,0,1,1,6,11,7,2
12564,12572,0.38,3.6,0.74,1,0,0,6,5,1,0,6,11,12,0
12565,12573,5.98,6.56,20.14,0,0,0,3,3,1,3,5,2,6,1
12566,12574,3.74,5.5,6.3,1,0,0,5,0,1,3,9,3,10,2
12567,12575,4.75,2.79,11.41,1,0,0,6,2,1,0,10,8,12,0
12568,12576,8.47,7.59,18.73,0,1,1,6,4,5,0,5,5,6,0
12569,12577,2.78,4.85,5.67,0,0,0,2,1,1,0,5,4,11,0
12570,12578,9.75,5.91,17.05,0,1,0,5,1,1,0,10,6,11,2
12571,12579,3.83,5.41,5.12,1,0,0,2,6,1,0,5,5,6,0
12572,12580,3.53,4.68,8.28,1,0,0,5,0,1,0,9,10,12,2
12573,12581,3.65,4.78,3.08,1,0,0,2,6,1,3,0,10,6,0
12574,12582,1.4,7.28,2.56,1,0,0,2,5,1,1,11,5,12,2
12575,12583,10.11,8.66,12.63,0,0,1,6,1,1,0,1,10,6,0
12576,12584,15.16,8.66,30.57,1,1,0,6,4,1,0,5,11,12,2
12577,12585,3.21,3.04,6.82,1,0,0,5,1,1,1,10,10,11,2
12578,12586,1.5,2.62,2.7,1,0,0,6,1,1,2,11,5,6,2
12579,12587,5.22,4.99,9.13,1,0,0,2,1,1,3,5,10,6,0
12580,12588,11.7,7.92,22.79,0,1,0,6,4,1,0,5,11,6,0
12581,12589,9.27,8.45,15.92,0,0,1,6,4,1,0,11,11,12,2
12582,12590,3.52,5.27,26.57,1,0,1,3,3,1,5,10,2,11,2
12583,12591,8.9,10.37,11.19,1,0,0,2,6,1,0,5,10,11,2
12584,12592,4.54,2.74,12.39,1,0,0,6,4,1,0,7,10,12,0
12585,12593,5.65,5.65,12.12,1,0,0,6,5,1,0,11,11,12,0
12586,12594,10.56,12.2,12.98,1,0,1,6,0,1,0,5,5,12,0
12587,12595,5.96,6.32,9.94,0,0,0,2,5,1,0,5,10,6,0
12588,12596,0.8,5.35,1.1,1,0,0,6,1,1,1,6,6,12,0
12589,12597,9.54,4.7,15.89,0,0,0,6,0,1,0,9,10,11,0
12590,12598,10.04,6.58,15.01,1,1,0,6,1,1,0,5,5,6,0
12591,12599,4.28,6.98,7.02,0,0,0,6,1,1,0,5,5,11,2
12592,12600,3.47,3.98,2.87,1,0,0,2,6,1,0,5,10,6,2
12593,12601,7.1,8.58,7.57,1,0,1,6,0,7,0,11,5,6,0
12594,12602,9.35,5.63,14.57,1,1,0,5,1,1,2,5,5,6,0
12595,12603,12.79,10.99,15.32,1,0,1,6,2,2,0,5,10,11,0
12596,12604,5.88,4.88,7.37,0,0,0,5,1,1,3,5,10,11,2
12597,12605,8.31,7.86,19.03,1,0,0,2,5,1,0,1,11,12,0
12598,12606,4.76,4.24,8.43,0,0,0,6,0,1,0,11,11,11,2
12599,12607,4.8,3.15,6.28,1,0,0,5,1,1,0,11,6,7,0
12600,12608,9.73,8.02,12.85,1,1,1,5,1,1,0,7,7,8,2
12601,12609,3.23,0.0,0.0,1,0,0,3,3,1,0,2,2,2,3
12602,12610,9.86,6.99,13.32,0,0,0,6,4,1,0,5,11,6,2
12603,12611,3.31,4.23,3.49,1,0,1,0,2,0,0,5,10,11,0
12604,12612,3.85,6.12,4.09,0,0,0,0,0,1,0,5,3,3,3
12605,12613,2.87,3.31,5.25,1,0,0,6,0,1,2,6,6,12,0
12606,12614,1.52,4.95,1.58,0,0,0,1,0,1,0,5,3,3,0
12607,12615,3.34,4.96,3.3,0,0,0,0,6,1,1,5,10,12,2
12608,12616,5.06,5.5,4.85,1,0,0,2,6,1,0,1,1,6,2
12609,12617,6.26,6.74,16.72,1,0,0,2,5,1,0,11,11,12,0
12610,12618,3.59,10.22,2.74,1,0,0,0,0,1,1,5,4,6,2
12611,12619,3.38,4.13,2.92,0,0,0,2,0,1,0,2,3,6,2
12612,12620,3.1,3.16,13.4,1,0,0,3,3,1,0,2,2,3,0
12613,12621,3.26,3.9,5.05,1,0,0,6,0,1,0,1,1,1,0
12614,12622,26.43,20.45,103.91,0,0,0,6,4,1,0,5,11,6,2
12615,12623,1.55,5.73,2.62,1,0,0,6,6,1,1,5,5,6,0
12616,12624,11.65,8.17,19.17,0,0,0,5,5,1,3,2,0,0,0
12617,12625,2.64,6.58,5.1,0,0,0,6,0,1,0,0,10,11,0
12618,12626,0.91,5.58,0.95,0,1,0,6,0,1,2,5,7,6,0
12619,12627,15.74,6.88,22.08,0,0,0,2,0,1,0,3,4,11,0
12620,12628,12.0,12.44,37.76,1,0,0,6,4,1,0,5,10,6,2
12621,12629,7.18,7.43,12.45,0,1,0,6,4,1,0,5,8,1,0
12622,12630,5.21,6.87,11.59,0,0,0,6,4,1,0,5,11,6,0
12623,12631,6.7,4.56,14.96,1,0,0,6,6,1,0,5,11,12,0
12624,12632,3.55,5.99,2.98,0,0,0,0,5,1,0,5,5,11,0
12625,12633,0.95,2.72,1.47,1,0,0,6,0,1,0,10,10,6,0
12626,12634,4.22,6.46,9.21,0,0,0,2,1,1,0,5,6,7,3
12627,12635,3.49,4.26,9.46,0,0,0,6,4,1,0,5,1,12,0
12628,12636,5.72,4.49,7.05,1,0,1,5,4,1,0,11,5,6,2
12629,12637,5.94,3.88,14.54,0,0,0,5,3,1,0,11,2,12,2
12630,12638,14.03,10.24,18.9,0,1,1,6,2,3,4,10,3,11,2
12631,12639,2.74,3.23,5.96,1,1,0,2,1,1,0,5,5,6,2
12632,12640,8.34,1.67,16.07,1,0,0,3,4,1,0,6,11,12,3
12633,12641,6.41,3.8,11.73,0,1,0,6,4,1,0,5,11,12,0
12634,12642,3.56,5.15,7.13,1,0,0,0,0,1,1,11,8,12,2
12635,12643,6.14,7.31,6.75,1,1,0,5,1,1,0,1,10,6,2
12636,12644,3.8,4.22,6.0,0,1,0,2,1,1,0,7,7,3,2
12637,12645,6.98,6.87,10.54,0,0,0,6,2,1,0,5,7,6,2
12638,12646,13.47,9.59,17.43,0,1,1,6,2,1,0,5,10,11,2
12639,12647,1.05,4.74,1.03,0,1,0,1,0,1,0,5,7,6,0
12640,12648,6.58,13.84,8.62,1,0,0,6,6,1,0,1,10,6,0
12641,12649,3.04,0.0,0.0,1,0,0,3,6,1,0,10,10,2,2
12642,12650,7.18,7.42,19.61,0,0,0,2,6,1,0,7,10,11,2
12643,12651,11.62,7.82,29.39,1,1,0,6,4,1,0,11,6,1,2
12644,12652,4.89,5.15,6.15,1,0,1,6,0,1,0,5,5,6,0
12645,12653,3.15,0.0,0.0,1,0,0,3,3,1,0,2,2,2,2
12646,12654,4.12,7.57,8.91,0,0,0,5,3,1,0,11,2,12,0
12647,12655,4.2,7.22,4.22,0,0,0,2,0,1,0,2,3,6,0
12648,12656,4.3,5.89,32.49,1,0,1,3,3,1,5,10,2,11,0
12649,12657,10.27,5.99,15.87,1,1,0,6,1,1,2,8,5,6,0
12650,12658,6.82,10.19,10.85,0,0,1,2,2,0,6,10,4,11,1
12651,12659,4.44,4.8,7.71,0,0,0,6,5,1,0,5,11,11,0
12652,12660,7.42,7.74,18.91,0,0,0,2,6,1,0,5,10,11,2
12653,12661,7.95,7.77,9.62,1,1,0,5,1,1,0,1,10,6,0
12654,12662,13.13,2.44,13.12,0,0,0,2,1,1,0,0,11,11,3
12655,12663,6.01,6.74,6.99,1,0,0,0,2,1,4,3,3,4,0
12656,12664,3.64,4.07,7.25,1,1,0,5,1,1,0,5,5,6,0
12657,12665,4.42,3.11,5.7,1,0,0,5,1,1,2,6,11,7,0
12658,12666,8.23,8.2,15.67,1,0,1,6,2,5,0,5,10,11,0
12659,12668,16.11,7.61,22.41,0,0,0,6,0,1,0,5,4,11,2
12660,12669,4.16,5.65,28.42,1,0,1,3,3,1,0,10,2,11,0
12661,12670,5.47,6.71,12.49,0,0,0,2,1,1,0,6,0,11,0
12662,12671,8.21,4.98,10.08,1,0,0,2,5,1,0,7,7,8,3
12663,12672,6.2,10.13,11.2,1,0,1,2,6,2,0,8,10,11,0
12664,12673,7.01,3.57,8.9,0,0,0,6,1,1,1,10,7,11,2
12665,12674,4.14,7.25,6.62,0,0,0,6,0,1,0,5,11,6,3
12666,12675,3.84,5.73,34.82,1,0,1,3,3,1,5,10,2,11,2
12667,12676,2.76,6.15,2.78,0,0,0,0,5,1,0,5,4,11,1
12668,12677,6.06,3.94,6.58,0,0,0,6,5,1,0,2,11,11,0
12669,12678,2.67,7.25,3.15,1,0,0,2,6,1,0,5,7,6,2
12670,12679,8.17,7.96,14.07,0,1,0,6,4,1,0,11,11,12,2
12671,12680,7.14,5.98,16.87,1,0,0,2,6,1,0,1,10,11,2
12672,12681,12.45,5.53,22.9,0,1,0,5,1,1,0,10,10,11,2
12673,12682,6.33,4.86,11.26,0,1,0,6,4,1,0,5,8,1,2
12674,12683,5.31,3.12,5.07,1,0,1,2,4,1,0,5,5,6,2
12675,12684,8.46,6.76,16.68,1,0,0,2,5,1,0,9,11,10,0
12676,12685,6.88,6.27,11.15,1,0,0,2,6,1,0,11,5,11,0
12677,12686,13.39,4.94,25.44,1,1,0,6,1,1,3,8,5,6,2
12678,12687,7.83,6.98,25.53,1,0,0,6,0,1,0,5,10,11,0
12679,12688,2.98,5.32,6.08,1,0,0,2,0,1,4,11,8,9,0
12680,12689,3.14,5.97,4.54,1,0,0,0,4,1,0,5,3,11,2
12681,12690,4.7,4.29,7.0,0,0,0,2,5,1,0,2,3,11,2
12682,12691,16.15,7.08,23.68,0,0,0,5,0,1,0,3,4,11,3
12683,12692,4.11,0.0,0.0,1,0,1,3,3,1,0,11,2,2,0
12684,12693,2.87,2.72,6.99,1,0,0,2,1,1,1,2,10,11,2
12685,12694,1.13,2.7,1.3,1,0,0,6,0,1,3,10,10,6,2
12686,12695,3.13,5.05,6.81,1,0,0,0,0,1,4,7,8,9,0
12687,12696,4.52,4.27,10.44,0,0,0,6,0,1,0,11,6,11,0
12688,12697,5.24,5.24,10.7,0,0,1,6,2,2,0,11,10,11,2
12689,12698,7.61,5.85,7.59,1,0,0,6,5,1,0,5,3,6,0
12690,12699,4.82,5.61,20.87,0,0,0,1,3,1,0,2,2,6,1
12691,12700,9.26,8.49,16.36,0,1,1,6,2,5,0,5,7,11,0
12692,12701,8.45,4.77,14.1,1,1,0,5,1,1,0,8,10,3,2
12693,12702,9.92,8.93,32.56,0,0,0,6,5,1,4,10,10,11,2
12694,12703,5.18,4.92,7.48,0,0,0,5,1,1,3,5,10,11,0
12695,12704,9.88,7.4,20.96,0,0,0,2,5,1,0,5,3,10,0
12696,12705,1.97,5.65,3.59,0,0,0,2,0,1,2,5,7,6,2
12697,12706,5.44,6.12,4.58,0,0,1,6,0,3,0,5,5,3,3
12698,12707,0.97,3.41,2.58,1,0,1,0,6,1,4,11,3,6,2
12699,12708,13.86,5.05,26.15,1,1,0,2,1,1,1,2,0,6,2
12700,12709,6.62,6.86,9.11,1,1,0,2,1,1,0,1,11,6,0
12701,12710,3.89,4.8,6.98,1,0,0,5,0,1,0,9,10,12,0
12702,12711,3.35,4.7,8.86,0,0,0,6,4,1,0,6,5,1,2
12703,12712,10.01,4.98,25.79,0,0,0,5,6,1,0,5,10,6,2
12704,12713,9.74,12.21,30.28,1,0,0,6,0,1,0,5,10,11,2
12705,12714,2.34,4.9,2.16,1,0,0,0,0,1,0,2,3,6,2
12706,12715,1.84,6.07,2.81,1,0,0,0,0,1,0,10,5,6,1
12707,12716,1.45,5.95,2.43,1,0,1,4,0,0,4,5,3,12,1
12708,12717,8.36,6.53,14.23,0,0,0,6,0,1,0,5,10,3,0
12709,12718,3.59,4.47,3.0,0,0,0,0,6,1,1,10,10,12,0
12710,12719,4.57,8.75,9.4,0,0,1,6,6,1,0,10,5,11,0
12711,12720,19.01,15.29,66.74,0,0,0,6,4,1,0,5,11,6,0
12712,12721,4.17,4.87,5.91,1,0,1,6,0,7,0,5,5,6,0
12713,12722,19.21,26.63,21.52,0,0,1,4,1,4,4,10,10,6,0
12714,12723,12.68,10.06,17.37,0,0,1,6,1,1,0,1,10,6,3
12715,12724,4.49,3.67,8.99,0,0,0,6,0,1,0,11,11,11,0
12716,12725,4.23,5.5,7.04,1,0,1,0,5,0,4,4,3,6,2
12717,12726,2.97,4.57,5.0,1,0,0,6,2,1,0,1,1,1,0
12718,12727,7.59,8.42,18.52,0,1,0,6,4,1,0,11,11,12,2
12719,12728,4.44,6.61,46.37,0,0,0,5,3,1,0,5,2,6,3
12720,12729,11.67,10.05,22.98,0,1,0,6,4,1,0,5,11,6,2
12721,12730,4.43,5.64,11.49,0,0,0,6,0,1,0,11,6,11,2
12722,12731,11.26,6.06,24.3,0,0,1,2,4,0,0,1,10,6,3
12723,12732,1.84,7.1,2.84,1,0,0,2,4,1,1,11,11,12,2
12724,12733,3.67,3.66,9.03,1,0,0,2,1,1,1,2,10,11,2
12725,12734,10.23,19.57,11.69,0,0,1,4,2,0,0,10,7,11,2
12726,12735,10.0,10.84,24.09,1,0,1,6,0,6,0,6,6,12,0
12727,12736,5.8,5.52,20.09,0,0,0,1,3,1,0,2,2,6,1
12728,12737,4.76,6.11,13.34,0,1,0,6,4,1,0,11,11,12,2
12729,12738,8.19,7.98,15.63,1,1,1,6,0,3,1,10,3,11,2
12730,12739,8.29,7.68,14.12,1,1,1,6,0,3,0,10,5,11,2
12731,12740,10.42,9.6,23.76,0,1,0,6,4,1,0,5,11,6,2
12732,12741,10.86,8.96,14.77,0,0,1,6,0,1,0,5,10,6,0
12733,12742,5.66,6.82,45.37,0,0,0,5,3,1,0,5,2,6,0
12734,12743,3.3,3.77,2.66,0,0,0,0,0,1,0,2,3,3,0
12735,12744,4.94,5.95,12.28,0,0,0,6,4,1,0,5,5,1,0
12736,12745,7.45,8.35,25.85,1,0,0,6,4,1,0,5,7,6,0
12737,12746,2.41,8.57,2.32,1,0,0,0,0,1,1,2,5,3,0
12738,12747,7.5,6.91,15.75,1,1,0,6,5,1,0,5,8,11,0
12739,12748,8.63,6.86,25.32,0,0,1,2,4,0,0,1,10,6,3
12740,12749,6.47,12.81,17.12,1,0,0,0,0,1,0,5,4,11,0
12741,12750,7.21,4.31,11.43,1,1,0,5,1,1,0,5,3,3,2
12742,12751,11.85,12.35,17.17,0,1,1,6,1,2,0,5,10,11,0
12743,12752,3.73,4.74,4.68,1,0,0,2,6,1,0,5,1,12,0
12744,12753,8.92,5.75,22.98,0,0,1,2,6,0,0,5,10,6,3
12745,12754,7.04,6.17,13.84,0,0,1,6,2,2,0,11,10,11,2
12746,12755,15.65,10.26,18.08,0,1,1,6,2,1,1,5,10,11,0
12747,12756,4.22,6.96,7.78,0,0,0,6,6,1,0,5,4,11,2
12748,12757,9.78,9.37,13.91,0,0,1,2,0,1,0,11,10,6,0
12749,12758,6.49,8.69,11.01,0,0,0,2,5,1,0,5,11,6,0
12750,12759,2.04,5.07,2.65,1,0,0,2,0,1,1,4,7,11,0
12751,12760,3.37,4.38,4.89,1,0,0,6,0,1,0,1,1,1,0
12752,12761,17.98,15.83,34.01,0,0,0,6,4,1,0,1,5,11,0
12753,12762,3.85,2.9,5.99,0,0,0,2,1,1,4,10,10,11,3
12754,12763,5.28,3.4,6.42,1,0,0,5,1,1,2,11,11,12,2
12755,12764,4.62,5.47,4.83,1,0,0,2,6,1,0,1,11,6,0
12756,12765,11.54,9.5,31.46,1,1,0,6,4,1,0,5,6,1,0
12757,12766,6.77,6.9,10.89,1,1,0,6,1,1,0,1,10,1,0
12758,12767,8.38,7.66,14.65,0,0,0,6,0,1,1,2,10,3,0
12759,12768,3.49,5.87,31.97,1,0,1,3,3,1,5,10,2,11,2
12760,12769,6.05,7.09,7.08,1,1,0,5,1,1,0,5,10,6,2
12761,12770,3.81,5.93,6.9,0,0,0,2,2,1,0,5,5,11,0
12762,12771,3.81,4.43,9.56,0,0,0,6,4,1,0,5,1,12,0
12763,12772,1.53,4.76,2.33,1,0,0,6,6,1,1,5,5,6,2
12764,12773,7.34,6.54,13.68,0,0,0,6,4,1,1,5,11,6,0
12765,12774,7.85,4.38,11.71,1,1,0,5,1,1,0,8,3,3,2
12766,12775,7.26,6.77,13.74,0,0,0,6,1,1,1,6,0,11,0
12767,12776,5.94,6.19,5.53,1,1,0,5,1,1,0,1,10,1,0
12768,12777,14.19,7.03,25.02,0,0,0,6,1,1,0,5,10,11,0
12769,12778,4.9,5.98,5.48,1,0,0,6,2,1,1,3,11,7,2
12770,12779,6.27,5.37,6.35,1,0,1,2,0,1,0,5,11,12,2
12771,12780,3.03,10.03,2.72,1,0,0,0,0,1,1,2,4,6,2
12772,12781,5.06,5.58,11.89,0,0,1,6,2,2,0,11,10,12,2
12773,12782,7.76,4.52,10.09,1,0,0,2,5,1,0,7,7,8,3
12774,12783,1.45,6.4,1.76,0,0,0,6,1,1,2,11,10,12,0
12775,12784,15.51,4.99,24.33,1,1,0,6,1,1,0,5,10,6,0
12776,12785,9.16,6.77,19.72,1,0,0,2,5,1,0,11,11,1,0
12777,12786,3.74,6.08,7.28,0,0,0,6,1,1,0,5,6,7,0
12778,12787,1.13,3.05,1.45,1,0,0,6,0,1,0,10,10,6,2
12779,12788,2.25,3.07,5.17,1,0,0,2,1,1,4,6,6,12,0
12780,12789,6.78,5.1,10.9,0,1,0,6,4,1,0,5,11,1,0
12781,12790,3.31,4.63,5.92,0,1,0,5,1,1,0,2,7,6,0
12782,12791,5.94,6.37,9.54,0,0,0,2,5,1,0,5,10,11,2
12783,12792,6.56,7.08,8.69,1,0,1,6,0,7,0,1,10,1,0
12784,12793,12.69,2.52,13.9,0,0,0,2,1,1,0,0,10,11,0
